"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"3","0.2","true","true","false","true","45","7.312","1059.6119110364905"
"7","0.6","true","true","false","true","51","9.368","455.61727089554427"
"6","0.5","true","true","false","true","40","8.732","553.0047173348332"
"1","0","true","true","false","true","36","6.836","1408.579119435399"
"8","0.7","true","true","false","true","53","8.692","413.54722386923333"
"6","0.5","true","true","false","true","41","8.74","551.7506919914838"
"5","0.4","true","true","false","true","42","8.348","699.1250533199857"
"4","0.3","true","true","false","true","39","7.744","850.0337143781594"
"9","0.8","true","true","false","true","45","8.984","359.2614071312454"
"2","0.1","true","true","false","true","39","6.6","1316.5238955809639"
"7","0.6","true","true","false","true","52","9.348","455.306172880001"
"3","0.2","true","true","false","true","46","7.316","1069.9966420048972"
"1","0","true","true","false","true","37","6.716","1407.1823912259163"
"5","0.4","true","true","false","true","43","8.356","697.7845525501917"
"6","0.5","true","true","false","true","42","8.724","551.1752898823327"
"8","0.7","true","true","false","true","54","8.692","413.5472238692333"
"9","0.8","true","true","false","true","46","8.984","359.2614071312455"
"4","0.3","true","true","false","true","40","7.772","847.7158263087841"
"2","0.1","true","true","false","true","40","6.504","1311.8583724425307"
"7","0.6","true","true","false","true","53","9.34","455.14979969106975"
"1","0","true","true","false","true","38","6.756","1402.6750371781995"
"9","0.8","true","true","false","true","47","8.984","359.2614071312456"
"5","0.4","true","true","false","true","44","8.336","696.6990637425971"
"8","0.7","true","true","false","true","55","8.692","413.54722386923316"
"6","0.5","true","true","false","true","43","8.752","551.8994584792853"
"3","0.2","true","true","false","true","47","7.416","1072.570081144022"
"4","0.3","true","true","false","true","41","7.776","846.1420565672346"
"7","0.6","true","true","false","true","54","9.336","455.25800401709745"
"2","0.1","true","true","false","true","41","6.568","1314.2093714180774"
"9","0.8","true","true","false","true","48","8.984","359.2614071312456"
"1","0","true","true","false","true","39","6.684","1399.741378914527"
"6","0.5","true","true","false","true","44","8.724","550.2999352093351"
"5","0.4","true","true","false","true","45","8.352","694.6684891362611"
"8","0.7","true","true","false","true","56","8.692","413.54722386923265"
"4","0.3","true","true","false","true","42","7.892","843.8964297811231"
